year,price,model
2015,234314.144,643.09
2009,228581.528,656.22
2018,281626.336,487.29
2015,401255.608,1504.75
2009,458674.256,1275.46
2006,245050.28,575.19
2015,265129.064,570.89
2006,175716.48,620.82
2018,331101.344,682.26
2009,218630.608,694.52
2009,279555.096,1060.36
2009,494778.992,1842.51
2015,215472.104,694.52
2018,418753.008,1009.25
2006,444192.008,1300.96
2006,440201.616,1379.72
2018,248337.6,690.54
2006,234178.16,623.94
2006,225451.984,681.07
2018,299416.976,1027.76
2015,268125.08,620.71
2015,171795.24,549.69
2015,412569.472,1207.45
2015,183459.488,518.38
2009,168047.264,525.81
2018,362519.72,1103.3
2018,271793.312,570.89
2015,406852.304,1334.1
2015,297760.44,681.07
2015,368988.432,1496.36
2006,301635.728,1010.33
2006,225452.32,681.07
2009,207742.248,597.9
2015,191486.896,525.81
2018,285223.176,857.54
2018,302000.92,622.97
2006,269225.92,823.21
2006,233493.208,570.25
2018,292965.216,685.48
2015,245747.2,698.29
2015,310045.712,1021.95
2018,217468.224,682.26
2009,287350,823.21
2009,414682.648,1334.1
2018,293044.496,1060.36
2015,300061.48,698.29
2009,204302.976,633.19
2006,201778.048,698.29
2015,257828.416,633.19
2015,262423.504,617.05
2015,225656.12,647.5
2015,393069.76,1021.95
2009,258637.008,1021.95
2006,269523.056,727.88
2015,255629.16,647.5
2018,500681.128,1508.84
2018,320345.52,1032.06
2015,395242.096,1283.85
2006,330677.128,827.84
2015,251332.592,569.17
2018,251188.824,828.16
2015,263311.696,698.5
2015,359674.44,1205.62
2009,334938.872,1021.95
2015,302393.384,685.48
2015,304587.272,827.09
2006,355251.2,1009.25
2015,271726.752,549.8
2018,294582.944,685.48
2006,454512.76,1496.36
2009,276875.632,1021.95
2006,181587.576,643.41
2015,298926.496,656.22
2015,211724.096,549.8
2018,228313.024,685.48
2018,286161.6,685.48
2018,382120.152,1183.46
2006,365863.936,1334.1
2009,251560.04,682.26
2006,342988.456,1188.62
2006,180307.216,681.07
2015,408637.816,1122.34
2006,190909.056,681.07
2018,282683.544,643.09
2018,303597.216,685.48
2018,376253.808,1009.25
2006,154282.128,479.75
2009,327252.112,1028.41
2018,211904.536,601.66
2018,354512.112,1236.93
2018,251140.656,694.52
2015,338078.168,1071.55
2015,298170.88,694.52
2018,266684.248,698.29
2006,262477.856,698.29
2009,252460.4,549.8
2009,310522.592,1037.44
2006,383635.568,1504.75
2015,225145.248,648.29
2006,274922.856,705.29
